Sample_date,Sample_Time,Salinity_ppt,pH,DO_mg/L,Turb_NTU,Chl_ug/L,T_Fahr
8/15/2022,18:45:0,8.64,7.89,7.32,3.49,80.2,81.441
8/15/2022,19:0:0,8.63,7.94,7.8,2.97,55.45,81.27
8/15/2022,19:15:0,8.62,7.96,7.83,2.75,40.59,81.127
8/15/2022,19:30:0,8.58,7.93,7.58,2.92,71.11,81.358
8/15/2022,19:45:0,8.67,7.82,6.84,2.48,39.88,81.356
8/15/2022,20:0:0,8.64,7.85,7.16,2.41,45.39,81.34
8/15/2022,20:15:0,8.67,7.76,6.43,2.19,40,81.27
8/15/2022,20:30:0,8.67,7.79,6.72,2.43,38.14,80.974
8/15/2022,20:45:0,8.68,7.78,6.7,2.6,34.05,80.872
8/15/2022,21:0:0,8.57,7.9,7.44,2.53,33.78,80.481
8/15/2022,21:15:0,8.65,7.8,6.81,2.58,41.88,80.778
8/15/2022,21:30:0,8.73,7.79,6.78,2.7,37.61,80.83
8/15/2022,21:45:0,8.77,7.74,6.43,2.49,46.89,80.854
8/15/2022,22:0:0,8.77,7.74,6.36,2.55,40.19,80.901
8/15/2022,22:15:0,8.81,7.73,6.24,2.51,50.07,80.875
8/15/2022,22:30:0,8.86,7.71,6.12,2.44,35.75,80.85
8/15/2022,22:45:0,8.94,7.62,5.71,2.83,38.45,80.978
8/15/2022,23:0:0,8.96,7.59,5.46,2.44,39.62,81
8/15/2022,23:15:0,8.95,7.58,5.41,2.7,39.16,80.917
8/15/2022,23:30:0,9,7.53,5.1,2.46,40.27,81
8/15/2022,23:45:0,9.05,7.46,4.5,2.49,43.7,81.126
8/16/2022,0:0:0,9.07,7.43,4.29,2.58,34.74,81.126
8/16/2022,0:15:0,9.14,7.35,3.52,2.61,47.78,81.243
8/16/2022,0:30:0,9.15,7.36,3.58,2.27,34.99,81.259
8/16/2022,0:45:0,9.18,7.34,3.43,2.32,35.24,81.297
8/16/2022,1:0:0,9.19,7.34,3.57,2.26,46.06,81.282
8/16/2022,1:15:0,9.26,7.3,3.24,2.81,52.88,81.241
8/16/2022,1:30:0,9.22,7.33,3.29,2.87,42.72,81.174
8/16/2022,1:45:0,9.21,7.32,3.28,2.41,41.77,81.288
8/16/2022,2:0:0,9.2,7.34,3.52,2.65,36.53,81.027
8/16/2022,2:15:0,9.27,7.29,2.82,2.32,49.11,81.288
8/16/2022,2:30:0,9.3,7.27,2.63,2.67,51.31,81.259
8/16/2022,2:45:0,9.31,7.27,2.68,2.66,50.75,81.241
8/16/2022,3:0:0,9.33,7.22,2.13,2.54,88.08,81.289
8/16/2022,3:15:0,9.35,7.24,2.37,2.52,54.72,81.286
8/16/2022,3:30:0,9.36,7.18,1.62,2.58,69.98,81.279
8/16/2022,3:45:0,9.37,7.2,1.9,2.44,54.31,81.306
8/16/2022,4:0:0,9.37,7.2,2.02,2.72,113.7,81.205
8/16/2022,4:15:0,9.42,7.14,1.14,2.98,77.63,81.291
8/16/2022,4:30:0,9.41,7.17,1.63,3.31,101.28,81.176
8/16/2022,4:45:0,9.4,7.19,1.83,3.42,74.24,81.104
8/16/2022,5:0:0,9.4,7.17,1.62,3.66,92.36,81.136
8/16/2022,5:15:0,9.43,7.19,2.03,4.05,58.02,80.947
8/16/2022,5:30:0,9.45,7.17,1.8,3.94,55.58,81.043
8/16/2022,5:45:0,9.42,7.17,1.51,3.46,77.05,80.983
8/16/2022,6:0:0,9.4,7.16,1.58,4.11,99.89,80.989
8/16/2022,6:15:0,9.44,7.16,1.58,4.5,111.05,81.001
8/16/2022,6:30:0,9.47,7.17,1.83,4.31,68.96,80.956
8/16/2022,6:45:0,9.48,7.16,1.63,4.42,78.78,80.982
8/16/2022,7:0:0,9.51,7.17,1.66,5.2,71.66,80.956
8/16/2022,7:15:0,9.55,7.17,1.85,4.96,74.32,80.928
8/16/2022,7:30:0,9.53,7.16,1.74,4.93,62.44,80.906
8/16/2022,7:45:0,9.51,7.17,1.88,4.85,76.04,80.895
8/16/2022,8:0:0,9.53,7.17,1.8,4.91,52.52,80.933
8/16/2022,8:15:0,9.52,7.17,1.84,4.99,53.17,80.899
8/16/2022,8:30:0,9.56,7.17,1.93,5.26,62.67,80.913
8/16/2022,8:45:0,9.57,7.17,1.99,5.51,57.74,80.915
8/16/2022,9:0:0,9.56,7.17,1.93,5.51,59.22,80.929
8/16/2022,9:15:0,9.55,7.15,1.77,5.04,59.31,80.953
8/16/2022,9:30:0,9.58,7.16,1.95,5.57,55.56,80.974
8/16/2022,9:45:0,9.57,7.18,2.07,5.7,73.46,81.007
8/16/2022,10:0:0,9.58,7.18,2.15,5.53,61.5,81.007
8/16/2022,10:15:0,9.62,7.19,2.48,6.84,61.73,81.028
8/16/2022,10:30:0,9.6,7.21,2.59,6.17,78.6,81.059
8/16/2022,10:45:0,9.62,7.26,3.1,6.63,95,81.099
8/16/2022,11:0:0,9.59,7.26,3.1,6.12,103.73,81.097
8/16/2022,11:15:0,9.61,7.27,3.08,6.46,86.07,81.117
8/16/2022,11:30:0,9.61,7.38,4.22,6.58,106.63,81.199
8/16/2022,11:45:0,9.6,7.4,4.47,6.85,100.54,81.271
8/16/2022,12:0:0,9.58,7.48,5.03,6.34,115.7,81.378
8/16/2022,12:15:0,9.63,7.4,4.3,6.88,105.91,81.349
8/16/2022,12:30:0,9.62,7.5,5.11,6.66,96.26,81.423
8/16/2022,12:45:0,9.6,7.54,5.32,6.23,94.99,81.522
8/16/2022,13:0:0,9.54,7.72,6.8,5.94,79.62,81.855
8/16/2022,13:15:0,9.44,7.68,6.36,5.08,77.44,81.84
8/16/2022,13:30:0,9.31,7.7,6.6,5.38,80.95,81.81
8/16/2022,13:45:0,8.95,7.88,7.69,4.73,67.62,81.905
8/16/2022,14:0:0,8.79,7.76,6.83,4.54,64.26,81.73
8/16/2022,14:15:0,8.85,7.8,7.03,4.25,73.06,81.876
8/16/2022,14:30:0,8.7,7.83,7.36,3.96,73.34,81.862
8/16/2022,14:45:0,8.75,7.69,6.32,4.82,58.22,81.671
8/16/2022,15:0:0,8.63,7.82,7.36,4.1,69.97,81.81
8/16/2022,15:15:0,8.63,7.77,6.9,4.7,76.17,81.756
8/16/2022,15:30:0,8.54,7.88,7.72,3.93,67.64,81.727
8/16/2022,15:45:0,8.52,7.86,7.62,4.41,87.29,81.628
8/16/2022,16:0:0,8.48,7.87,7.58,3.95,94.31,81.622
8/16/2022,16:15:0,8.46,7.87,7.56,3.8,55.44,81.648
8/16/2022,16:30:0,8.47,7.84,7.29,3.55,62.9,81.658
8/16/2022,16:45:0,8.18,8.09,9.13,3.67,125.31,81.718
8/16/2022,17:0:0,8.39,7.85,7.37,3.58,80.2,81.675
8/16/2022,17:15:0,8.35,8,8.45,3.46,78.96,81.648
8/16/2022,17:30:0,8.42,7.94,8.13,3.41,75.12,81.633
8/16/2022,17:45:0,8.42,7.97,8.36,3.43,84.52,81.617
8/16/2022,18:0:0,8.36,8.01,8.62,3.29,86.32,81.491
8/16/2022,18:15:0,8.37,7.97,8.19,3.32,77.35,81.385
8/16/2022,18:30:0,8.36,7.98,8.36,3.24,71.84,81.455
8/16/2022,18:45:0,8.42,7.93,7.89,3.07,70.5,81.342
8/16/2022,19:0:0,8.4,7.91,7.8,3.02,71.72,81.394
8/16/2022,19:15:0,8.35,7.91,7.81,2.93,67.97,81.378
8/16/2022,19:30:0,8.39,7.88,7.6,2.97,75.85,81.313
8/16/2022,19:45:0,8.43,7.81,7.14,2.66,48.62,81.466
8/16/2022,20:0:0,8.47,7.8,7.12,2.81,57.56,81.415
8/16/2022,20:15:0,8.49,7.83,7.27,2.96,66.16,81.626
8/16/2022,20:30:0,8.51,7.75,6.73,2.67,54.11,81.487
8/16/2022,20:45:0,8.51,7.71,6.42,2.63,49.95,81.45
8/16/2022,21:0:0,8.59,7.66,6.07,2.79,47.64,81.586
8/16/2022,21:15:0,8.58,7.69,6.42,2.59,48.6,81.365
8/16/2022,21:30:0,8.62,7.64,5.99,2.52,38.82,81.367
8/16/2022,21:45:0,8.69,7.58,5.7,2.59,45.29,81.324
8/16/2022,22:0:0,8.67,7.55,5.46,2.54,42.55,81.336
8/16/2022,22:15:0,8.73,7.53,5.25,2.51,40.21,81.313
8/16/2022,22:30:0,8.73,7.51,5.15,2.56,42.17,81.3
8/16/2022,22:45:0,8.71,7.53,5.42,2.5,41.23,81.176
8/16/2022,23:0:0,8.71,7.49,5.08,2.51,40.86,81.183
8/16/2022,23:15:0,8.72,7.48,4.95,2.47,42.36,81.153
8/16/2022,23:30:0,8.77,7.46,4.85,2.54,37.29,81.169
8/16/2022,23:45:0,8.77,7.42,4.34,2.3,42.7,81.261
8/17/2022,0:0:0,8.79,7.45,4.73,2.4,41.43,81.145
8/17/2022,0:15:0,8.79,7.45,4.75,2.42,38.29,81.122
8/17/2022,0:30:0,8.82,7.4,4.14,2.36,45.92,81.154
8/17/2022,0:45:0,8.87,7.41,4.41,2.56,44.51,81.099
8/17/2022,1:0:0,8.88,7.34,3.58,2.49,46.76,81.136
8/17/2022,1:15:0,8.92,7.31,3.31,2.4,41.75,81.235
8/17/2022,1:30:0,8.94,7.31,3.34,2.77,45.07,81.219
8/17/2022,1:45:0,8.95,7.32,3.52,2.59,48.46,81.136
8/17/2022,2:0:0,9.05,7.28,3.32,2.89,41.75,81.113
8/17/2022,2:15:0,8.97,7.3,3.37,2.67,43.49,81.023
8/17/2022,2:30:0,9.05,7.27,3.1,2.83,51.61,81.036
8/17/2022,2:45:0,9.08,7.24,2.79,3.31,42.75,81.05
8/17/2022,3:0:0,9.12,7.22,2.52,3.01,41.63,81.086
8/17/2022,3:15:0,9.13,7.23,2.51,2.66,42.62,81.021
8/17/2022,3:30:0,9.17,7.21,2.3,2.85,48.68,81.09
8/17/2022,3:45:0,9.19,7.21,2.34,3.11,53.44,81.073
8/17/2022,4:0:0,9.23,7.19,2.15,3.03,48.06,81.093
8/17/2022,4:15:0,9.21,7.18,1.98,3.02,43.42,81.061
8/17/2022,4:30:0,9.2,7.19,2.08,2.88,43.96,80.942
8/17/2022,4:45:0,9.27,7.17,1.78,3.13,46.69,81.07
8/17/2022,5:0:0,9.3,7.16,1.69,3.01,64.16,81.131
8/17/2022,5:15:0,9.31,7.18,2.05,3.15,43.27,81.005
8/17/2022,5:30:0,9.36,7.17,1.87,3.33,69.95,81.073
8/17/2022,5:45:0,9.33,7.15,1.33,3.05,58.57,81.129
8/17/2022,6:0:0,9.37,7.16,1.59,3.31,49.98,81.133
8/17/2022,6:15:0,9.37,7.17,1.8,3.29,61.66,80.987
8/17/2022,6:30:0,9.42,7.17,1.86,3.61,52.77,80.983
8/17/2022,6:45:0,9.39,7.18,1.99,3.47,53.25,80.926
8/17/2022,7:0:0,9.36,7.17,1.84,3.46,56.84,80.881
8/17/2022,7:15:0,9.4,7.17,1.88,3.47,88.24,80.881
8/17/2022,7:30:0,9.44,7.18,2.04,3.43,54.15,80.926
8/17/2022,7:45:0,9.46,7.17,1.85,3.68,71.1,81
8/17/2022,8:0:0,9.47,7.19,2.17,3.8,60.53,80.906
8/17/2022,8:15:0,9.44,7.18,1.88,4.06,53.62,80.924
8/17/2022,8:30:0,9.52,7.19,2.48,3.77,44.08,80.962
8/17/2022,8:45:0,9.5,7.2,2.44,3.74,56.79,80.983
8/17/2022,9:0:0,9.51,7.21,2.51,3.72,46.51,81.012
8/17/2022,9:15:0,9.52,7.22,2.72,3.92,69.79,81.03
8/17/2022,9:30:0,9.51,7.23,2.75,4.2,68.26,81.032
8/17/2022,9:45:0,9.51,7.21,2.49,4.06,53.89,81.032
8/17/2022,10:0:0,9.45,7.19,2.05,3.65,57.76,81.018
8/17/2022,10:15:0,9.43,7.19,2.1,3.3,52.19,80.983
8/17/2022,10:30:0,9.52,7.26,3.25,4.19,43.69,81.18
8/17/2022,10:45:0,9.48,7.21,2.24,3.41,46.42,81.055
8/17/2022,11:0:0,9.48,7.2,2.2,3.39,49.84,81.093
8/17/2022,11:15:0,9.44,7.27,3.2,4.71,62.51,81.174
8/17/2022,11:30:0,9.39,7.34,4.25,3.73,52.43,81.288
8/17/2022,11:45:0,9.36,7.4,4.74,3.99,72.45,81.365
8/17/2022,12:0:0,9.33,7.53,5.63,4.11,73.12,81.608
8/17/2022,12:15:0,9.28,7.56,5.73,4.02,76.45,81.626
8/17/2022,12:30:0,9.19,7.67,6.46,3.87,74.49,81.831
8/17/2022,12:45:0,9.24,7.58,5.99,3.92,83.16,81.808
8/17/2022,13:0:0,9.2,7.69,6.7,3.64,54.53,82.067
8/17/2022,13:15:0,9.11,7.77,7.27,3.53,49.79,82.099
8/17/2022,13:30:0,9.15,7.55,5.57,3.43,45.04,81.673
8/17/2022,13:45:0,9.11,7.52,5.32,3.29,46,81.579
8/17/2022,14:0:0,9.07,7.55,5.63,3.31,44.15,81.633
8/17/2022,14:15:0,9.04,7.54,5.61,3.23,48.12,81.608
8/17/2022,14:30:0,9.03,7.55,5.63,2.98,40.76,81.622
8/17/2022,14:45:0,8.98,7.62,6.13,3.04,58.8,81.738
8/17/2022,15:0:0,8.81,7.8,7.38,3.45,102.68,81.912
8/17/2022,15:15:0,8.82,7.78,7.07,3.27,68.3,81.858
8/17/2022,15:30:0,8.78,7.8,7.15,3.55,77.43,81.909
8/17/2022,15:45:0,8.88,7.67,6.43,3.34,50.18,81.808
8/17/2022,16:0:0,8.78,7.65,6.28,3.31,61.85,81.829
8/17/2022,16:15:0,8.72,7.74,6.73,3.06,50.47,81.853
8/17/2022,16:30:0,8.69,7.81,7.17,3.72,86.34,81.873
8/17/2022,16:45:0,8.7,7.76,7.01,3.37,73.43,81.745
8/17/2022,17:0:0,8.85,7.59,5.7,3.14,57.99,81.594
8/17/2022,17:15:0,8.84,7.62,6.1,3.28,72.99,81.408
8/17/2022,17:30:0,8.75,7.69,6.32,3.16,75.86,81.46
8/17/2022,17:45:0,8.82,7.59,5.79,3.24,61.65,81.478
8/17/2022,18:0:0,8.76,7.61,5.93,3.46,62.05,81.36
8/17/2022,18:15:0,8.81,7.58,5.76,3.51,67.79,81.322
8/17/2022,18:30:0,8.75,7.6,5.92,3.34,52.37,81.307
8/17/2022,18:45:0,8.81,7.54,5.36,2.94,55.44,81.45
8/17/2022,19:0:0,8.85,7.49,5.18,3.21,51.24,81.291
8/17/2022,19:15:0,8.82,7.48,5.14,3.11,48.11,81.214
8/17/2022,19:30:0,8.81,7.52,5.41,3.03,50.47,81.111
8/17/2022,19:45:0,8.81,7.51,5.4,2.91,41.31,81.072
8/17/2022,20:0:0,8.86,7.46,5,2.96,38.66,81.066
8/17/2022,20:15:0,8.81,7.48,5.16,2.83,45.19,81.061
8/17/2022,20:30:0,8.87,7.44,4.94,2.66,39.89,81.138
8/17/2022,20:45:0,8.87,7.42,4.59,2.65,38.29,81.162
8/17/2022,21:0:0,8.88,7.42,4.65,2.62,38.88,81.104
8/17/2022,21:15:0,8.91,7.39,4.26,2.46,35.28,81.142
8/17/2022,21:30:0,8.91,7.38,4.18,2.8,36.5,81.187
8/17/2022,21:45:0,8.96,7.35,4.12,2.66,33.44,81.068
8/17/2022,22:0:0,8.96,7.35,4.15,2.57,33.43,81.018
8/17/2022,22:15:0,8.95,7.37,4.29,2.68,36.64,80.942
8/17/2022,22:30:0,8.95,7.36,4.18,2.59,31.8,80.944
8/17/2022,22:45:0,8.98,7.34,3.98,2.52,28.12,80.947
8/17/2022,23:0:0,9,7.32,3.84,2.51,29.86,80.917
8/17/2022,23:15:0,8.95,7.31,3.54,2.48,30.85,80.888
8/17/2022,23:30:0,9,7.3,3.56,2.22,28.59,80.883
8/17/2022,23:45:0,8.97,7.27,2.97,2.17,23.71,80.996
8/18/2022,0:0:0,9.01,7.24,2.55,2.47,22.69,81.043
8/18/2022,0:15:0,9.05,7.22,2.34,2.31,22.09,81.149
8/18/2022,0:30:0,9.1,7.2,2.13,2.29,22.34,81.153
8/18/2022,0:45:0,9.14,7.22,2.49,2.3,20.89,80.96
8/18/2022,1:0:0,9.18,7.2,2.39,2.53,23.85,80.96
8/18/2022,1:15:0,9.17,7.19,2.08,2.28,18.39,80.971
8/18/2022,1:30:0,9.18,7.19,2.1,2.42,17.65,80.917
8/18/2022,1:45:0,9.21,7.19,2.17,2.6,18.27,80.872
8/18/2022,2:0:0,9.18,7.2,2.32,2.43,18.5,80.809
8/18/2022,2:15:0,9.21,7.19,2.18,2.72,20.14,80.807
8/18/2022,2:30:0,9.2,7.18,2.03,2.52,17.95,80.8
8/18/2022,2:45:0,9.21,7.18,2.06,2.49,17.79,80.757
8/18/2022,3:0:0,9.27,7.17,1.83,3,17.59,80.812
8/18/2022,3:15:0,9.26,7.17,1.71,2.59,18.23,80.798
8/18/2022,3:30:0,9.24,7.19,2,2.44,19.76,80.623
8/18/2022,3:45:0,9.28,7.16,1.68,2.69,17.61,80.737
8/18/2022,4:0:0,9.3,7.17,1.75,2.58,18.52,80.694
8/18/2022,4:15:0,9.33,7.17,1.71,2.75,19.32,80.631
8/18/2022,4:30:0,9.3,7.17,1.84,2.64,17.2,80.611
8/18/2022,4:45:0,9.31,7.17,1.82,2.85,19.1,80.53
8/18/2022,5:0:0,9.3,7.16,1.67,2.74,17.69,80.526
8/18/2022,5:15:0,9.31,7.16,1.73,3.02,19.46,80.481
8/18/2022,5:30:0,9.38,7.15,1.83,3.52,18.33,80.526
8/18/2022,5:45:0,9.37,7.15,1.56,3.21,20.13,80.526
8/18/2022,6:0:0,9.35,7.15,1.5,2.75,21.95,80.528
8/18/2022,6:15:0,9.39,7.15,1.37,3.01,22.18,80.548
8/18/2022,6:30:0,9.37,7.14,1.38,2.73,31.16,80.517
8/18/2022,6:45:0,9.41,7.15,1.59,3.1,22.96,80.442
8/18/2022,7:0:0,9.33,7.15,1.34,2.7,27.29,80.339
8/18/2022,7:15:0,9.43,7.14,1.38,3.19,18.4,80.422
8/18/2022,7:30:0,9.47,7.14,1.37,3.19,18.96,80.443
8/18/2022,7:45:0,9.48,7.14,1.42,3.24,19.31,80.447
8/18/2022,8:0:0,9.47,7.13,1.33,3.15,20.72,80.463
8/18/2022,8:15:0,9.49,7.13,1.33,3.41,17.38,80.506
8/18/2022,8:30:0,9.53,7.14,1.39,3.56,18.27,80.562
8/18/2022,8:45:0,9.54,7.13,1.35,3.74,18.06,80.613
8/18/2022,9:0:0,9.57,7.14,1.58,3.58,16.8,80.665
8/18/2022,9:15:0,9.56,7.13,1.3,3.5,15.37,80.724
8/18/2022,9:30:0,9.56,7.15,1.51,4.12,16.88,80.758
8/18/2022,9:45:0,9.56,7.15,1.66,4.23,17.89,80.782
8/18/2022,10:0:0,9.57,7.15,1.59,4.18,16.6,80.811
8/18/2022,10:15:0,9.58,7.16,1.86,4.24,17.23,80.87
8/18/2022,10:30:0,9.55,7.17,1.84,3.77,21.69,80.958
8/18/2022,10:45:0,9.56,7.17,1.94,4.01,19.5,80.987
8/18/2022,11:0:0,9.53,7.19,2.07,3.96,22.39,81.009
8/18/2022,11:15:0,9.53,7.17,1.89,3.85,15.94,80.919
8/18/2022,11:30:0,9.56,7.18,1.79,3.64,18.99,80.964
8/18/2022,11:45:0,9.61,7.23,2.74,4.29,18.69,81.392
8/18/2022,12:0:0,9.56,7.16,1.64,4.25,10.65,80.982
8/18/2022,12:15:0,9.56,7.2,2.3,3.69,17.31,81.174
8/18/2022,12:30:0,9.54,7.24,2.79,3.78,18.57,81.345
8/18/2022,12:45:0,9.58,7.21,2.47,4.15,12.55,81.333
8/18/2022,13:0:0,9.58,7.21,2.41,3.78,10.39,81.477
8/18/2022,13:15:0,9.66,7.21,2.26,4.77,8.98,81.549
8/18/2022,13:30:0,9.6,7.21,2.31,4,9.94,81.667
8/18/2022,13:45:0,9.57,7.21,2.32,3.56,9.01,81.585
8/18/2022,14:0:0,9.57,7.21,2.29,3.39,9.23,81.552
8/18/2022,14:15:0,9.61,7.22,2.37,3.82,9.61,81.675
8/18/2022,14:30:0,9.63,7.24,2.64,4.21,9.33,81.736
8/18/2022,14:45:0,9.58,7.28,3.27,4.14,12.74,81.948
8/18/2022,15:0:0,9.61,7.24,2.71,4.29,11.42,81.795
8/18/2022,15:15:0,9.68,7.2,1.9,4.46,9.24,81.547
8/18/2022,15:30:0,9.68,7.23,2.28,5.13,9.82,81.81
8/18/2022,15:45:0,9.68,7.17,1.35,4.59,10.27,81.455
8/18/2022,16:0:0,9.65,7.14,0.96,4.29,8.59,81.334
8/18/2022,16:15:0,9.67,7.14,1.23,4.05,9.85,81.331
8/18/2022,16:30:0,9.69,7.15,0.95,4.28,8.32,81.372
8/18/2022,16:45:0,9.75,7.16,1.01,5.19,8.5,81.383
8/18/2022,17:0:0,9.76,7.2,1.71,5.7,10.07,81.453
8/18/2022,17:15:0,9.82,7.21,1.54,6.46,10.91,81.455
8/18/2022,17:30:0,9.83,7.26,2.36,5.42,12.43,81.415
8/18/2022,17:45:0,9.85,7.24,2.03,5.39,13.77,81.343
8/18/2022,18:0:0,9.79,7.2,1.73,5.63,16.61,81.441
8/18/2022,18:15:0,9.77,7.17,1.43,6.06,16.53,81.444
8/18/2022,18:30:0,9.82,7.17,1.21,6.37,17.3,81.36
8/18/2022,18:45:0,9.86,7.19,1.01,6.64,10.87,81.277
8/18/2022,19:0:0,9.87,7.16,0.67,6.73,13,81.273
8/18/2022,19:15:0,9.92,7.18,0.61,8.23,18.26,81.198
8/18/2022,19:30:0,9.96,7.19,0.7,7.99,14.04,81.093
8/18/2022,19:45:0,9.92,7.17,0.57,8.49,22.31,81.162
8/18/2022,20:0:0,9.9,7.17,0.94,8.22,19.61,81.122
8/18/2022,20:15:0,9.94,7.17,0.49,8.69,19.21,81.012
8/18/2022,20:30:0,9.93,7.18,1.2,6.45,9.22,80.818
8/18/2022,20:45:0,9.98,7.18,1.1,7.18,9.11,80.809
8/18/2022,21:0:0,9.96,7.16,1.07,7.29,8.53,80.776
8/18/2022,21:15:0,9.97,7.17,0.96,7.16,7.44,80.668
8/18/2022,21:30:0,9.97,7.17,1.22,7.1,5.12,80.571
8/18/2022,21:45:0,10.03,7.17,1.18,7.41,6.73,80.528
