Sample_date,Sample_Time,Salinity_ppt,pH,DO_mg/L,Turb_NTU,Chl_ug/L,BGA_RFU,T_Fahr
9/1/2022,20:0:0,11.72,7.21,1.26,8.43,5.69,3.57,80.614
9/1/2022,20:15:0,11.66,7.22,1.31,9.01,5,3.58,80.508
9/1/2022,20:30:0,11.64,7.22,1.42,8.47,5.19,3.48,80.474
9/1/2022,20:45:0,11.62,7.21,1.41,8.33,4.71,3.16,80.436
9/1/2022,21:0:0,11.61,7.21,1.41,8.31,3.12,3.6,80.427
9/1/2022,21:15:0,11.61,7.2,1.39,8.44,5.69,3.78,80.485
9/1/2022,21:30:0,11.62,7.2,1.39,8.56,4.96,3.19,80.424
9/1/2022,21:45:0,11.64,7.19,1.33,8.6,5.36,3.59,80.418
9/1/2022,22:0:0,11.65,7.19,1.29,8.82,4.47,2.93,80.393
9/1/2022,22:15:0,11.64,7.19,1.37,8.74,5.79,3.8,80.301
9/1/2022,22:30:0,11.64,7.18,1.25,8.58,4.67,3.01,80.236
9/1/2022,22:45:0,11.7,7.19,1.24,8.91,4.41,2.99,80.307
9/1/2022,23:0:0,11.67,7.18,1.25,8.57,4.99,3.14,80.24
9/1/2022,23:15:0,11.69,7.19,1.34,8.99,5.11,3.41,80.139
9/1/2022,23:30:0,11.68,7.19,1.46,9.08,5.85,3.84,80.065
9/1/2022,23:45:0,11.65,7.18,1.45,8.73,5.01,3.48,79.992
9/2/2022,0:0:0,11.63,7.19,1.51,8.86,5.16,3.28,79.889
9/2/2022,0:15:0,11.61,7.19,1.38,8.8,5.41,3.4,79.803
9/2/2022,0:30:0,11.63,7.18,1.45,8.59,5,3.18,79.855
9/2/2022,0:45:0,11.68,7.18,1.45,9.1,5.51,3.13,79.975
9/2/2022,1:0:0,11.72,7.17,1.18,8.74,3.81,2.54,80.112
9/2/2022,1:15:0,11.75,7.17,1.07,8.89,3.74,2.72,80.2
9/2/2022,1:30:0,11.77,7.18,1.27,9.34,4.55,3.06,80.119
9/2/2022,1:45:0,11.77,7.17,1.32,9.46,3.2,2.17,80.038
9/2/2022,2:0:0,11.78,7.17,1.26,9.61,3.62,2.57,79.963
9/2/2022,2:15:0,11.81,7.18,1.16,9.68,3.93,2.58,80.125
9/2/2022,2:30:0,11.84,7.18,0.98,9.4,3.19,2.52,80.136
9/2/2022,2:45:0,11.91,7.19,1.02,9.87,3.01,2.13,80.177
9/2/2022,3:0:0,11.92,7.18,1.14,9.28,3.17,2.23,80.157
9/2/2022,3:15:0,11.93,7.18,1.08,9.32,3.2,2.29,80.166
9/2/2022,3:30:0,11.96,7.18,0.97,9.81,2.98,2.15,80.238
9/2/2022,3:45:0,11.97,7.19,1.01,9.79,3.08,2.5,80.146
9/2/2022,4:0:0,11.97,7.18,1.02,9.69,2.88,2.36,80.089
9/2/2022,4:15:0,11.98,7.19,0.96,10.35,2.63,2.0,80.085
9/2/2022,4:30:0,11.96,7.19,1.02,9.79,2.77,2.21,79.99
9/2/2022,4:45:0,11.99,7.19,1.08,10.58,2.6,1.98,79.945
9/2/2022,5:0:0,11.99,7.2,1.09,10.81,2.58,2.08,79.907
9/2/2022,5:15:0,12,7.2,1.01,11.14,2.54,2.07,79.846
9/2/2022,5:30:0,11.99,7.2,1,11,2.79,2.25,79.79
9/2/2022,5:45:0,11.97,7.2,1.02,11.6,2.89,2.35,79.705
9/2/2022,6:0:0,11.96,7.19,0.98,11.34,3.54,2.44,79.63
9/2/2022,6:15:0,11.97,7.19,0.98,11.06,2.83,2.19,79.637
9/2/2022,6:30:0,11.94,7.18,0.95,11.85,3.54,2.6,79.531
9/2/2022,6:45:0,11.94,7.18,1.04,11.1,2.99,2.25,79.495
9/2/2022,7:0:0,11.95,7.17,1.05,10.55,3.7,2.47,79.475
9/2/2022,7:15:0,11.92,7.16,1.06,10.64,3.74,2.75,79.401
9/2/2022,7:30:0,11.9,7.17,1.03,10.91,4.73,2.88,79.192
9/2/2022,7:45:0,11.88,7.16,1.19,10.13,3.8,2.71,79.133
9/2/2022,8:0:0,11.88,7.15,1.13,10.12,3.98,2.56,79.153
9/2/2022,8:15:0,11.89,7.16,1.05,9.9,4.16,2.86,79.216
9/2/2022,8:30:0,11.91,7.17,0.97,10.47,3,2.37,79.32
9/2/2022,8:45:0,11.89,7.16,1.03,9.98,3.88,2.9,79.295
9/2/2022,9:0:0,11.9,7.16,1.15,10.65,3.42,2.54,79.383
9/2/2022,9:15:0,11.89,7.16,1.31,10.28,4.22,3.07,79.401
9/2/2022,9:30:0,11.89,7.18,1.02,10.99,3.31,2.39,79.495
9/2/2022,9:45:0,11.84,7.16,1.48,9.95,5.22,3.49,79.561
9/2/2022,10:0:0,11.86,7.17,1.38,10.65,4.49,3.52,79.63
9/2/2022,10:15:0,11.76,7.18,1.48,9.93,3.73,2.88,79.77
9/2/2022,10:30:0,11.7,7.18,1.63,9.01,5.34,3.35,79.822
9/2/2022,10:45:0,11.58,7.18,1.73,8.33,5.45,4.06,79.974
9/2/2022,11:0:0,11.55,7.18,1.88,7.62,6.95,4.03,79.997
9/2/2022,11:15:0,11.43,7.2,1.96,6.91,6.77,3.66,80.168
9/2/2022,11:30:0,11.42,7.21,2.08,6.69,11.86,6.82,80.251
9/2/2022,11:45:0,11.28,7.24,2.33,5.57,9.25,7.99,80.379
9/2/2022,12:0:0,11.24,7.26,2.51,5.36,10.96,6.45,80.454
9/2/2022,12:15:0,11.14,7.28,2.77,5.15,11.57,9.1,80.494
9/2/2022,12:30:0,11.12,7.29,2.68,4.8,15.64,9.56,80.586
9/2/2022,12:45:0,11.04,7.31,2.87,4.22,11.67,10.23,80.667
9/2/2022,13:0:0,11.01,7.33,2.97,4.26,14.5,9.19,80.748
9/2/2022,13:15:0,11.01,7.33,2.97,4.17,15.59,9.45,80.843
9/2/2022,13:30:0,10.99,7.33,3.22,4.05,13.39,10.65,80.843
9/2/2022,13:45:0,10.97,7.35,3.42,3.99,12.96,10.75,81.014
9/2/2022,14:0:0,10.93,7.36,3.58,4.34,15.4,13.42,81.149
9/2/2022,14:15:0,10.95,7.37,3.58,3.71,13.68,8.34,81.028
9/2/2022,14:30:0,10.91,7.37,3.63,3.65,15.26,10.92,81.198
9/2/2022,14:45:0,10.89,7.39,3.75,3.69,14.41,8.88,81.358
9/2/2022,15:0:0,10.93,7.37,3.76,4.25,21.34,11.43,81.259
9/2/2022,15:15:0,10.92,7.37,3.81,3.77,18.8,12.57,81.234
9/2/2022,15:30:0,10.92,7.36,3.85,3.52,20.28,14.16,81.133
9/2/2022,15:45:0,10.9,7.34,3.67,4.22,22.67,15.2,81.122
9/2/2022,16:0:0,10.89,7.36,3.84,3.7,19.2,14.13,81.081
9/2/2022,16:15:0,10.88,7.36,3.84,3.71,32.39,21.58,81.046
9/2/2022,16:30:0,10.88,7.35,3.68,3.19,20.42,13.51,81.018
9/2/2022,16:45:0,10.87,7.35,3.77,3.33,33.51,19.38,81.027
9/2/2022,17:0:0,10.92,7.32,3.44,3.66,21.13,12.02,80.839
9/2/2022,17:15:0,10.93,7.3,3.38,3.47,21.25,14.16,80.836
9/2/2022,17:30:0,10.87,7.32,3.53,3.27,16.07,9.74,80.854
9/2/2022,17:45:0,10.8,7.36,3.8,3.11,28.53,16.42,80.989
9/2/2022,18:0:0,10.88,7.3,3.34,3.06,15.54,10.45,80.776
9/2/2022,18:15:0,10.88,7.31,3.5,3.28,15.68,9.23,80.717
9/2/2022,18:30:0,10.88,7.3,3.26,4.06,18.13,10.59,80.69
9/2/2022,18:45:0,10.87,7.31,3.44,2.91,17.18,9.12,80.677
9/2/2022,19:0:0,10.9,7.32,3.47,2.86,18.51,12.19,80.665
9/2/2022,19:15:0,10.88,7.33,3.54,2.74,17.14,10.93,80.647
9/2/2022,19:30:0,10.88,7.32,3.63,3.08,18.61,9.53,80.607
9/2/2022,19:45:0,10.9,7.31,3.39,3.07,14.72,9.35,80.544
9/2/2022,20:0:0,10.86,7.31,3.43,2.7,12.37,7.34,80.465
9/2/2022,20:15:0,10.89,7.31,3.38,2.87,12.14,6.88,80.461
9/2/2022,20:30:0,10.9,7.31,3.43,3.29,12.41,7.38,80.433
9/2/2022,20:45:0,10.95,7.3,3.45,2.93,13.39,7.43,80.47
9/2/2022,21:0:0,10.93,7.3,3.28,2.62,12.21,8.44,80.532
9/2/2022,21:15:0,10.95,7.29,3.39,2.88,14.35,8.8,80.508
9/2/2022,21:30:0,10.93,7.3,3.35,2.85,14.59,8.88,80.564
9/2/2022,21:45:0,10.94,7.28,3.28,2.63,13.34,7.37,80.517
9/2/2022,22:0:0,10.91,7.3,3.14,2.48,10.97,7.06,80.528
9/2/2022,22:15:0,10.95,7.28,3.17,2.59,12.14,7.72,80.508
9/2/2022,22:30:0,10.93,7.27,3.06,2.33,12.61,6.72,80.463
9/2/2022,22:45:0,10.95,7.25,2.89,2.33,12.08,7.55,80.415
9/2/2022,23:0:0,10.92,7.26,2.72,2.21,11.69,6.72,80.357
9/2/2022,23:15:0,10.95,7.26,2.77,2.38,14.19,7.18,80.492
9/2/2022,23:30:0,11,7.23,2.51,2.22,12.01,7.29,80.535
9/2/2022,23:45:0,11.03,7.23,2.42,2.38,12.03,7.45,80.586
9/3/2022,0:0:0,11.11,7.24,2.64,2.43,14.58,9.31,80.553
9/3/2022,0:15:0,11.07,7.24,2.89,2.53,14.46,7.9,80.478
9/3/2022,0:30:0,11.11,7.24,2.98,2.44,17.84,11.45,80.472
9/3/2022,0:45:0,11.13,7.23,2.67,3.24,17.04,9.99,80.452
9/3/2022,1:0:0,11.16,7.23,2.47,2.66,18.34,10.92,80.467
9/3/2022,1:15:0,11.18,7.23,2.71,2.71,17.71,10.6,80.469
9/3/2022,1:30:0,11.16,7.22,2.59,2.59,15.16,10.24,80.429
9/3/2022,1:45:0,11.13,7.21,2.33,2.45,15.03,11.22,80.393
9/3/2022,2:0:0,11.12,7.23,2.64,2.47,13.7,8.93,80.332
9/3/2022,2:15:0,11.1,7.24,2.75,2.44,18.73,9.38,80.236
9/3/2022,2:30:0,11.06,7.24,2.78,2.4,13.88,9.18,80.164
9/3/2022,2:45:0,11.06,7.25,2.77,2.48,14.14,9.49,80.146
9/3/2022,3:0:0,11.05,7.25,2.96,2.4,14.09,9.04,80.098
9/3/2022,3:15:0,11.02,7.26,2.89,2.34,13.15,8.1,80.031
9/3/2022,3:30:0,10.94,7.26,2.65,2.19,12.94,6.34,80.04
9/3/2022,3:45:0,10.95,7.25,2.77,2.24,13.26,7.85,80.011
9/3/2022,4:0:0,10.97,7.26,2.78,2.26,14.57,9.24,79.929
9/3/2022,4:15:0,10.93,7.27,3.02,2.57,13.45,8.35,79.866
9/3/2022,4:30:0,10.8,7.29,3.27,2.33,13.38,9.0,79.581
9/3/2022,4:45:0,10.82,7.29,3.19,2.4,17.64,10.66,79.745
9/3/2022,5:0:0,10.86,7.32,3.5,2.41,26.6,16.9,79.786
9/3/2022,5:15:0,10.93,7.31,3.26,2.44,22.39,14.44,79.905
9/3/2022,5:30:0,10.96,7.35,3.6,2.48,27.41,19.61,79.855
9/3/2022,5:45:0,11,7.37,3.82,2.6,31.75,22.59,79.864
9/3/2022,6:0:0,11.06,7.38,3.81,2.43,30.87,20.01,79.911
9/3/2022,6:15:0,11.06,7.35,3.61,2.57,29.6,20.65,79.842
9/3/2022,6:30:0,11.09,7.33,3.39,2.58,25.95,17.03,79.905
9/3/2022,6:45:0,11.07,7.35,3.55,2.88,25.56,15.33,79.734
9/3/2022,7:0:0,11.12,7.36,3.67,2.78,29.77,16.36,79.842
9/3/2022,7:15:0,11.18,7.37,3.69,2.86,30.29,16.97,80.001
9/3/2022,7:30:0,11.17,7.36,3.67,2.84,33.44,22.33,80.004
9/3/2022,7:45:0,11.2,7.35,3.6,2.6,38.44,27.07,80.112
9/3/2022,8:0:0,11.23,7.3,3.17,2.58,28.35,21.1,80.308
9/3/2022,8:15:0,11.27,7.31,3.19,2.81,45.65,35.32,80.388
9/3/2022,8:30:0,11.29,7.34,3.6,2.86,35.27,26.85,80.407
9/3/2022,8:45:0,11.31,7.32,3.22,2.63,32.34,23.34,80.481
9/3/2022,9:0:0,11.36,7.33,3.27,2.62,23.62,17.25,80.492
9/3/2022,9:15:0,11.36,7.36,3.68,2.88,38.48,25.37,80.51
9/3/2022,9:30:0,11.35,7.36,3.77,2.72,34.42,23.17,80.476
9/3/2022,9:45:0,11.32,7.39,4.15,3.04,43.13,28.65,80.503
9/3/2022,10:0:0,11.3,7.41,4.35,3.09,62.51,46.15,80.542
9/3/2022,10:15:0,11.33,7.43,4.47,2.97,45.8,30.14,80.616
9/3/2022,10:30:0,11.25,7.53,5.36,3.75,76.77,56.79,80.748
9/3/2022,10:45:0,11.3,7.47,4.83,3.03,48.24,32.72,80.76
9/3/2022,11:0:0,11.24,7.51,4.89,2.95,51.73,36.42,80.746
9/3/2022,11:15:0,11.31,7.58,5.45,3.13,48.16,27.44,80.924
9/3/2022,11:30:0,11.29,7.64,5.96,3.31,55.84,34.06,81.001
9/3/2022,11:45:0,11.23,7.7,6.51,3.16,59.77,39.0,81.068
9/3/2022,12:0:0,11.11,7.74,6.75,2.91,44.62,28.8,81.228
9/3/2022,12:15:0,11.1,7.75,6.74,3.08,48.28,29.53,81.306
9/3/2022,12:30:0,11.16,7.73,6.54,2.85,53.47,29.82,81.324
9/3/2022,12:45:0,11.13,7.78,7.07,2.91,57.46,34.79,81.397
9/3/2022,13:0:0,11.19,7.78,6.79,2.98,49.41,31.42,81.401
9/3/2022,13:15:0,10.98,7.97,8.7,3.57,107.29,59.07,81.738
9/3/2022,13:30:0,10.84,8.08,9.74,3.39,97.14,58.43,81.921
9/3/2022,13:45:0,10.89,8.01,8.78,3.76,109.22,66.72,81.934
9/3/2022,14:0:0,10.8,8,8.83,3.27,88.31,52.12,82.056
9/3/2022,14:15:0,10.86,7.97,8.64,3.19,82.03,49.8,82.074
9/3/2022,14:30:0,10.83,7.97,8.38,3.51,108.13,61.38,82.053
9/3/2022,14:45:0,10.88,7.89,7.89,3.35,118.25,61.01,81.9
9/3/2022,15:0:0,10.85,7.9,7.87,3.43,119.47,63.65,81.941
9/3/2022,15:15:0,10.86,7.93,8.14,3.38,89.43,54.94,81.963
9/3/2022,15:30:0,10.84,7.98,8.57,3.22,103.63,61.88,82.033
9/3/2022,15:45:0,10.87,7.98,8.64,3.3,94.63,59.42,81.984
9/3/2022,16:0:0,10.9,7.95,8.54,3.28,102.26,66.02,81.923
9/3/2022,16:15:0,10.9,7.93,8.25,3.12,115.59,58.36,81.91
9/3/2022,16:30:0,10.77,8.02,8.95,3.87,138.94,87.1,81.919
9/3/2022,16:45:0,10.79,7.98,8.73,3.56,139.55,85.65,81.853
9/3/2022,17:0:0,10.8,7.96,8.43,3.45,115.73,67.95,81.765
9/3/2022,17:15:0,10.81,7.95,8.24,3.2,112.36,68.26,81.799
9/3/2022,17:30:0,10.79,7.96,8.29,3.17,106.36,61.41,81.847
9/3/2022,17:45:0,10.8,7.94,8.28,3.64,114.65,70.44,81.847
9/3/2022,18:0:0,10.79,7.96,8.39,3.02,103.82,57.9,81.822
9/3/2022,18:15:0,10.78,7.93,8.06,3.01,102.53,62.29,81.741
9/3/2022,18:30:0,10.77,7.95,8.54,3.2,162.53,83.31,81.7
9/3/2022,18:45:0,10.78,7.91,8.06,3.05,109.04,62.77,81.669
9/3/2022,19:0:0,10.79,7.87,7.81,3.11,112.62,62.97,81.597
9/3/2022,19:15:0,10.8,7.87,7.84,3.08,137.72,76.42,81.613
9/3/2022,19:30:0,10.78,7.89,8.02,3.21,104.53,62.8,81.653
9/3/2022,19:45:0,10.81,7.83,7.36,2.84,89.85,55.37,81.567
9/3/2022,20:0:0,10.82,7.81,7.35,3.56,96.82,57.65,81.541
9/3/2022,20:15:0,10.84,7.75,6.84,2.73,74.84,42.1,81.437
9/3/2022,20:30:0,10.81,7.76,6.98,2.52,80.79,52.4,81.435
9/3/2022,20:45:0,10.82,7.7,6.46,2.31,63.61,36.16,81.487
9/3/2022,21:0:0,10.87,7.66,6.21,2.38,53.5,34.92,81.487
9/3/2022,21:15:0,10.89,7.66,6.09,2.26,55.03,33.93,81.401
9/3/2022,21:30:0,10.91,7.61,5.84,2.29,62.01,37.16,81.376
9/3/2022,21:45:0,10.92,7.6,5.75,2.29,60.09,37.01,81.36
9/3/2022,22:0:0,10.92,7.59,5.69,2.15,52.76,31.35,81.324
9/3/2022,22:15:0,10.94,7.62,5.84,2.19,53.41,32.76,81.298
9/3/2022,22:30:0,10.98,7.6,5.68,2.15,42.24,28.36,81.32
9/3/2022,22:45:0,10.97,7.61,5.77,2.38,48.27,29.14,81.253
9/3/2022,23:0:0,10.97,7.57,5.49,1.96,38.83,22.07,81.239
9/3/2022,23:15:0,10.97,7.61,5.74,1.87,35.04,23.32,81.194
9/3/2022,23:30:0,10.98,7.56,5.5,1.86,32.07,19.56,81.145
9/3/2022,23:45:0,10.97,7.56,5.47,1.83,33.35,20.21,81.059
9/4/2022,0:0:0,10.97,7.54,5.36,1.68,31.26,19.38,80.985
9/4/2022,0:15:0,10.98,7.53,5.26,1.68,32.95,20.88,80.91
9/4/2022,0:30:0,10.98,7.52,5.08,1.83,28.09,17.34,80.859
9/4/2022,0:45:0,10.99,7.48,4.91,1.77,31.27,20.59,80.886
9/4/2022,1:0:0,11,7.5,4.97,2,26.22,14.89,80.886
9/4/2022,1:15:0,11.02,7.45,4.57,1.73,25.48,16.64,80.865
9/4/2022,1:30:0,11.03,7.45,4.61,1.79,26.57,15.45,80.825
9/4/2022,1:45:0,11.03,7.44,4.43,1.76,28.77,18.64,80.793
9/4/2022,2:0:0,11.03,7.45,4.5,1.84,27.6,18.1,80.771
9/4/2022,2:15:0,11.03,7.43,4.52,1.88,24.3,15.21,80.719
9/4/2022,2:30:0,11.03,7.42,4.23,1.84,24.01,15.67,80.771
9/4/2022,2:45:0,11.07,7.4,4.15,1.8,24.7,16.44,80.78
9/4/2022,3:0:0,11.09,7.4,4.12,1.91,25.02,17.3,80.784
9/4/2022,3:15:0,11.09,7.42,4.22,1.92,22.2,15.83,80.762
9/4/2022,3:30:0,11.12,7.4,4.1,1.9,28.03,19.68,80.739
9/4/2022,3:45:0,11.07,7.39,4.05,1.97,25.03,16.54,80.632
9/4/2022,4:0:0,11.08,7.39,4.05,1.92,26.19,18.63,80.56
9/4/2022,4:15:0,11.09,7.39,4.05,2.12,25.66,18.54,80.593
9/4/2022,4:30:0,11.12,7.37,3.7,1.95,24.21,18.23,80.616
9/4/2022,4:45:0,11.14,7.37,3.69,1.86,28.71,20.94,80.663
9/4/2022,5:0:0,11.14,7.36,3.69,2.05,25.13,18.09,80.721
9/4/2022,5:15:0,11.17,7.37,3.64,1.94,23.97,18.05,80.622
9/4/2022,5:30:0,11.16,7.35,3.47,1.95,24.78,17.25,80.555
9/4/2022,5:45:0,11.18,7.35,3.5,1.94,24.31,17.62,80.546
9/4/2022,6:0:0,11.19,7.34,3.46,1.79,35.22,27.01,80.53
9/4/2022,6:15:0,11.2,7.34,3.54,2.08,27.78,19.56,80.49
9/4/2022,6:30:0,11.2,7.33,3.39,2.01,29.72,22.27,80.463
9/4/2022,6:45:0,11.19,7.33,3.36,1.94,26.55,21.29,80.461
9/4/2022,7:0:0,11.19,7.33,3.34,2.27,27.38,19.31,80.438
9/4/2022,7:15:0,11.21,7.33,3.36,1.95,25.1,17.29,80.546
9/4/2022,7:30:0,11.18,7.35,3.61,1.96,27.12,22.08,80.476
9/4/2022,7:45:0,11.15,7.36,3.8,2.03,36.13,24.76,80.469
9/4/2022,8:0:0,11.18,7.36,3.8,2.04,28.81,20.97,80.427
9/4/2022,8:15:0,11.16,7.37,3.84,2.02,31.75,22.48,80.355
9/4/2022,8:30:0,11.13,7.36,3.75,1.91,23.22,16.02,80.362
9/4/2022,8:45:0,11.12,7.37,3.67,1.68,19.42,14.35,80.413
9/4/2022,9:0:0,11.11,7.36,3.62,1.69,16.08,11.01,80.463
9/4/2022,9:15:0,11.1,7.34,3.42,1.61,20.5,16.23,80.604
9/4/2022,9:30:0,10.89,7.44,4.4,2.06,16.71,13.32,80.46
9/4/2022,9:45:0,11.01,7.44,4.28,1.8,13.4,8.95,80.528
9/4/2022,10:0:0,10.83,7.45,4.54,2.05,10.4,6.48,80.256
9/4/2022,10:15:0,11,7.43,4.27,1.85,10.38,6.71,80.37
9/4/2022,10:30:0,10.74,7.47,4.87,1.82,12.01,7.88,80.366
9/4/2022,10:45:0,10.99,7.44,4.51,1.71,10.51,6.98,80.546
9/4/2022,11:0:0,11,7.44,4.26,1.71,12.02,8.37,80.65
9/4/2022,11:15:0,11.11,7.46,4.49,1.86,21.1,12.09,80.832
9/4/2022,11:30:0,11.01,7.65,5.97,2.28,29.83,27.47,81.068
9/4/2022,11:45:0,11.03,7.51,4.83,1.8,13.85,9.17,81.104
9/4/2022,12:0:0,11.06,7.49,4.58,1.82,11.48,7.07,81.205
9/4/2022,12:15:0,10.96,7.52,4.78,1.69,12.57,7.23,81.354
