Date,Time (GMT),Verified (ft)
2022/08/15,15:18,2.04
2022/08/15,15:24,2.02
2022/08/15,15:30,2
2022/08/15,15:36,1.97
2022/08/15,15:42,1.94
2022/08/15,15:48,1.91
2022/08/15,15:54,1.87
2022/08/15,16:00,1.85
2022/08/15,16:06,1.82
2022/08/15,16:12,1.79
2022/08/15,16:18,1.76
2022/08/15,16:24,1.72
2022/08/15,16:30,1.68
2022/08/15,16:36,1.65
2022/08/15,16:42,1.61
2022/08/15,16:48,1.58
2022/08/15,16:54,1.55
2022/08/15,17:00,1.52
2022/08/15,17:06,1.49
2022/08/15,17:12,1.45
2022/08/15,17:18,1.42
2022/08/15,17:24,1.38
2022/08/15,17:30,1.37
2022/08/15,17:36,1.34
2022/08/15,17:42,1.31
2022/08/15,17:48,1.29
2022/08/15,17:54,1.26
2022/08/15,18:00,1.23
2022/08/15,18:06,1.2
2022/08/15,18:12,1.16
2022/08/15,18:18,1.14
2022/08/15,18:24,1.11
2022/08/15,18:30,1.09
2022/08/15,18:36,1.08
2022/08/15,18:42,1.06
2022/08/15,18:48,1.03
2022/08/15,18:54,1.02
2022/08/15,19:00,0.98
2022/08/15,19:06,0.96
2022/08/15,19:12,0.95
2022/08/15,19:18,0.94
2022/08/15,19:24,0.93
2022/08/15,19:30,0.92
2022/08/15,19:36,0.9
2022/08/15,19:42,0.88
2022/08/15,19:48,0.87
2022/08/15,19:54,0.86
2022/08/15,20:00,0.84
2022/08/15,20:06,0.85
2022/08/15,20:12,0.83
2022/08/15,20:18,0.82
2022/08/15,20:24,0.81
2022/08/15,20:30,0.81
2022/08/15,20:36,0.8
2022/08/15,20:42,0.8
2022/08/15,20:48,0.81
2022/08/15,20:54,0.82
2022/08/15,21:00,0.83
2022/08/15,21:06,0.84
2022/08/15,21:12,0.85
2022/08/15,21:18,0.87
2022/08/15,21:24,0.87
2022/08/15,21:30,0.89
2022/08/15,21:36,0.91
2022/08/15,21:42,0.93
2022/08/15,21:48,0.95
2022/08/15,21:54,0.97
2022/08/15,22:00,1
2022/08/15,22:06,1.03
2022/08/15,22:12,1.06
2022/08/15,22:18,1.1
2022/08/15,22:24,1.12
2022/08/15,22:30,1.16
2022/08/15,22:36,1.19
2022/08/15,22:42,1.23
2022/08/15,22:48,1.27
2022/08/15,22:54,1.31
2022/08/15,23:00,1.36
2022/08/15,23:06,1.39
2022/08/15,23:12,1.42
2022/08/15,23:18,1.47
2022/08/15,23:24,1.5
2022/08/15,23:30,1.54
2022/08/15,23:36,1.58
2022/08/15,23:42,1.62
2022/08/15,23:48,1.65
2022/08/15,23:54,1.68
2022/08/16,00:00,1.73
2022/08/16,00:06,1.77
2022/08/16,00:12,1.79
2022/08/16,00:18,1.83
2022/08/16,00:24,1.86
2022/08/16,00:30,1.89
2022/08/16,00:36,1.93
2022/08/16,00:42,1.95
2022/08/16,00:48,1.99
2022/08/16,00:54,2.01
2022/08/16,01:00,2.04
2022/08/16,01:06,2.07
2022/08/16,01:12,2.09
2022/08/16,01:18,2.12
2022/08/16,01:24,2.14
2022/08/16,01:30,2.17
2022/08/16,01:36,2.19
2022/08/16,01:42,2.21
2022/08/16,01:48,2.23
2022/08/16,01:54,2.24
2022/08/16,02:00,2.25
2022/08/16,02:06,2.28
2022/08/16,02:12,2.28
2022/08/16,02:18,2.3
2022/08/16,02:24,2.3
2022/08/16,02:30,2.31
2022/08/16,02:36,2.32
2022/08/16,02:42,2.29
2022/08/16,02:48,2.29
2022/08/16,02:54,2.3
2022/08/16,03:00,2.29
2022/08/16,03:06,2.27
2022/08/16,03:12,2.25
2022/08/16,03:18,2.22
2022/08/16,03:24,2.18
2022/08/16,03:30,2.16
2022/08/16,03:36,2.17
2022/08/16,03:42,2.14
2022/08/16,03:48,2.12
2022/08/16,03:54,2.09
2022/08/16,04:00,2.06
2022/08/16,04:06,2.05
2022/08/16,04:12,2.02
2022/08/16,04:18,2
2022/08/16,04:24,1.97
2022/08/16,04:30,1.94
2022/08/16,04:36,1.93
2022/08/16,04:42,1.91
2022/08/16,04:48,1.88
2022/08/16,04:54,1.86
2022/08/16,05:00,1.85
2022/08/16,05:06,1.8
2022/08/16,05:12,1.78
2022/08/16,05:18,1.75
2022/08/16,05:24,1.71
2022/08/16,05:30,1.69
2022/08/16,05:36,1.65
2022/08/16,05:42,1.62
2022/08/16,05:48,1.6
2022/08/16,05:54,1.58
2022/08/16,06:00,1.56
2022/08/16,06:06,1.53
2022/08/16,06:12,1.5
2022/08/16,06:18,1.48
2022/08/16,06:24,1.44
2022/08/16,06:30,1.43
2022/08/16,06:36,1.4
2022/08/16,06:42,1.38
2022/08/16,06:48,1.36
2022/08/16,06:54,1.35
2022/08/16,07:00,1.33
2022/08/16,07:06,1.29
2022/08/16,07:12,1.25
2022/08/16,07:18,1.23
2022/08/16,07:24,1.21
2022/08/16,07:30,1.18
2022/08/16,07:36,1.17
2022/08/16,07:42,1.16
2022/08/16,07:48,1.14
2022/08/16,07:54,1.12
2022/08/16,08:00,1.1
2022/08/16,08:06,1.08
2022/08/16,08:12,1.06
2022/08/16,08:18,1.04
2022/08/16,08:24,1.03
2022/08/16,08:30,1.03
2022/08/16,08:36,1.02
2022/08/16,08:42,1.01
2022/08/16,08:48,1
2022/08/16,08:54,0.99
2022/08/16,09:00,0.98
2022/08/16,09:06,0.98
2022/08/16,09:12,0.97
2022/08/16,09:18,0.98
2022/08/16,09:24,0.99
2022/08/16,09:30,1
2022/08/16,09:36,1.01
2022/08/16,09:42,1.02
2022/08/16,09:48,1.03
2022/08/16,09:54,1.05
2022/08/16,10:00,1.06
2022/08/16,10:06,1.07
2022/08/16,10:12,1.09
2022/08/16,10:18,1.11
2022/08/16,10:24,1.12
2022/08/16,10:30,1.15
2022/08/16,10:36,1.17
2022/08/16,10:42,1.2
2022/08/16,10:48,1.22
2022/08/16,10:54,1.25
2022/08/16,11:00,1.28
2022/08/16,11:06,1.32
2022/08/16,11:12,1.35
2022/08/16,11:18,1.38
2022/08/16,11:24,1.4
2022/08/16,11:30,1.44
2022/08/16,11:36,1.48
2022/08/16,11:42,1.5
2022/08/16,11:48,1.52
2022/08/16,11:54,1.55
2022/08/16,12:00,1.57
2022/08/16,12:06,1.6
2022/08/16,12:12,1.63
2022/08/16,12:18,1.66
2022/08/16,12:24,1.69
2022/08/16,12:30,1.72
2022/08/16,12:36,1.74
2022/08/16,12:42,1.76
2022/08/16,12:48,1.79
2022/08/16,12:54,1.81
2022/08/16,13:00,1.83
2022/08/16,13:06,1.85
2022/08/16,13:12,1.86
2022/08/16,13:18,1.88
2022/08/16,13:24,1.9
2022/08/16,13:30,1.92
2022/08/16,13:36,1.94
2022/08/16,13:42,1.97
2022/08/16,13:48,1.98
2022/08/16,13:54,2
2022/08/16,14:00,2.01
2022/08/16,14:06,2.01
2022/08/16,14:12,2.02
2022/08/16,14:18,2.03
2022/08/16,14:24,2.03
2022/08/16,14:30,2.05
2022/08/16,14:36,2.03
2022/08/16,14:42,2.04
2022/08/16,14:48,2.03
2022/08/16,14:54,2.03
2022/08/16,15:00,2.03
2022/08/16,15:06,2.01
2022/08/16,15:12,2
2022/08/16,15:18,2
2022/08/16,15:24,1.97
2022/08/16,15:30,1.96
2022/08/16,15:36,1.94
2022/08/16,15:42,1.92
2022/08/16,15:48,1.88
2022/08/16,15:54,1.85
2022/08/16,16:00,1.83
2022/08/16,16:06,1.81
2022/08/16,16:12,1.78
2022/08/16,16:18,1.76
2022/08/16,16:24,1.73
2022/08/16,16:30,1.71
2022/08/16,16:36,1.67
2022/08/16,16:42,1.64
2022/08/16,16:48,1.62
2022/08/16,16:54,1.6
2022/08/16,17:00,1.58
2022/08/16,17:06,1.55
2022/08/16,17:12,1.51
2022/08/16,17:18,1.48
2022/08/16,17:24,1.46
2022/08/16,17:30,1.41
2022/08/16,17:36,1.38
2022/08/16,17:42,1.34
2022/08/16,17:48,1.3
2022/08/16,17:54,1.28
2022/08/16,18:00,1.25
2022/08/16,18:06,1.23
2022/08/16,18:12,1.2
2022/08/16,18:18,1.18
2022/08/16,18:24,1.14
2022/08/16,18:30,1.12
2022/08/16,18:36,1.08
2022/08/16,18:42,1.07
2022/08/16,18:48,1.05
2022/08/16,18:54,1.03
2022/08/16,19:00,0.99
2022/08/16,19:06,0.97
2022/08/16,19:12,0.94
2022/08/16,19:18,0.93
2022/08/16,19:24,0.91
2022/08/16,19:30,0.88
2022/08/16,19:36,0.86
2022/08/16,19:42,0.85
2022/08/16,19:48,0.83
2022/08/16,19:54,0.82
2022/08/16,20:00,0.81
2022/08/16,20:06,0.78
2022/08/16,20:12,0.79
2022/08/16,20:18,0.78
2022/08/16,20:24,0.78
2022/08/16,20:30,0.79
2022/08/16,20:36,0.77
2022/08/16,20:42,0.76
2022/08/16,20:48,0.77
2022/08/16,20:54,0.75
2022/08/16,21:00,0.72
2022/08/16,21:06,0.73
2022/08/16,21:12,0.74
2022/08/16,21:18,0.76
2022/08/16,21:24,0.79
2022/08/16,21:30,0.78
2022/08/16,21:36,0.79
2022/08/16,21:42,0.78
2022/08/16,21:48,0.78
2022/08/16,21:54,0.79
2022/08/16,22:00,0.82
2022/08/16,22:06,0.84
2022/08/16,22:12,0.85
2022/08/16,22:18,0.9
2022/08/16,22:24,0.91
2022/08/16,22:30,0.96
2022/08/16,22:36,0.96
2022/08/16,22:42,0.99
2022/08/16,22:48,1.02
2022/08/16,22:54,1.04
2022/08/16,23:00,1.11
2022/08/16,23:06,1.15
2022/08/16,23:12,1.19
2022/08/16,23:18,1.23
2022/08/16,23:24,1.26
2022/08/16,23:30,1.31
2022/08/16,23:36,1.34
2022/08/16,23:42,1.39
2022/08/16,23:48,1.44
2022/08/16,23:54,1.48
2022/08/17,00:00,1.53
2022/08/17,00:06,1.58
2022/08/17,00:12,1.63
2022/08/17,00:18,1.66
2022/08/17,00:24,1.72
2022/08/17,00:30,1.77
2022/08/17,00:36,1.81
2022/08/17,00:42,1.86
2022/08/17,00:48,1.92
2022/08/17,00:54,1.96
2022/08/17,01:00,2
2022/08/17,01:06,2.02
2022/08/17,01:12,2.04
2022/08/17,01:18,2.08
2022/08/17,01:24,2.11
2022/08/17,01:30,2.15
2022/08/17,01:36,2.19
2022/08/17,01:42,2.21
2022/08/17,01:48,2.24
2022/08/17,01:54,2.27
2022/08/17,02:00,2.3
2022/08/17,02:06,2.34
2022/08/17,02:12,2.36
2022/08/17,02:18,2.4
2022/08/17,02:24,2.42
2022/08/17,02:30,2.44
2022/08/17,02:36,2.44
2022/08/17,02:42,2.45
2022/08/17,02:48,2.46
2022/08/17,02:54,2.46
2022/08/17,03:00,2.47
2022/08/17,03:06,2.47
2022/08/17,03:12,2.47
2022/08/17,03:18,2.47
2022/08/17,03:24,2.48
2022/08/17,03:30,2.49
2022/08/17,03:36,2.49
2022/08/17,03:42,2.5
2022/08/17,03:48,2.5
2022/08/17,03:54,2.49
2022/08/17,04:00,2.49
2022/08/17,04:06,2.48
2022/08/17,04:12,2.49
2022/08/17,04:18,2.47
2022/08/17,04:24,2.46
2022/08/17,04:30,2.45
2022/08/17,04:36,2.42
2022/08/17,04:42,2.42
2022/08/17,04:48,2.39
2022/08/17,04:54,2.38
2022/08/17,05:00,2.37
2022/08/17,05:06,2.35
2022/08/17,05:12,2.33
2022/08/17,05:18,2.3
2022/08/17,05:24,2.28
2022/08/17,05:30,2.27
2022/08/17,05:36,2.24
2022/08/17,05:42,2.23
2022/08/17,05:48,2.21
2022/08/17,05:54,2.18
2022/08/17,06:00,2.15
2022/08/17,06:06,2.13
2022/08/17,06:12,2.1
2022/08/17,06:18,2.08
2022/08/17,06:24,2.07
2022/08/17,06:30,2.04
2022/08/17,06:36,2.02
2022/08/17,06:42,1.99
2022/08/17,06:48,1.97
2022/08/17,06:54,1.95
2022/08/17,07:00,1.93
2022/08/17,07:06,1.91
2022/08/17,07:12,1.9
2022/08/17,07:18,1.88
2022/08/17,07:24,1.86
2022/08/17,07:30,1.83
2022/08/17,07:36,1.81
2022/08/17,07:42,1.79
2022/08/17,07:48,1.78
2022/08/17,07:54,1.77
2022/08/17,08:00,1.76
2022/08/17,08:06,1.74
2022/08/17,08:12,1.73
2022/08/17,08:18,1.71
2022/08/17,08:24,1.7
2022/08/17,08:30,1.69
2022/08/17,08:36,1.68
2022/08/17,08:42,1.68
2022/08/17,08:48,1.67
2022/08/17,08:54,1.66
2022/08/17,09:00,1.65
2022/08/17,09:06,1.64
2022/08/17,09:12,1.65
2022/08/17,09:18,1.65
2022/08/17,09:24,1.64
2022/08/17,09:30,1.64
2022/08/17,09:36,1.63
2022/08/17,09:42,1.62
2022/08/17,09:48,1.63
2022/08/17,09:54,1.62
2022/08/17,10:00,1.62
2022/08/17,10:06,1.63
2022/08/17,10:12,1.64
2022/08/17,10:18,1.65
2022/08/17,10:24,1.65
2022/08/17,10:30,1.66
2022/08/17,10:36,1.67
2022/08/17,10:42,1.68
2022/08/17,10:48,1.69
2022/08/17,10:54,1.71
2022/08/17,11:00,1.73
2022/08/17,11:06,1.75
2022/08/17,11:12,1.76
2022/08/17,11:18,1.79
2022/08/17,11:24,1.81
2022/08/17,11:30,1.84
2022/08/17,11:36,1.86
2022/08/17,11:42,1.88
2022/08/17,11:48,1.91
2022/08/17,11:54,1.94
2022/08/17,12:00,1.96
2022/08/17,12:06,1.98
2022/08/17,12:12,2
2022/08/17,12:18,2.02
2022/08/17,12:24,2.04
2022/08/17,12:30,2.06
2022/08/17,12:36,2.08
2022/08/17,12:42,2.1
2022/08/17,12:48,2.12
2022/08/17,12:54,2.14
2022/08/17,13:00,2.15
2022/08/17,13:06,2.17
2022/08/17,13:12,2.2
2022/08/17,13:18,2.23
2022/08/17,13:24,2.25
2022/08/17,13:30,2.27
2022/08/17,13:36,2.29
2022/08/17,13:42,2.31
2022/08/17,13:48,2.33
2022/08/17,13:54,2.35
2022/08/17,14:00,2.36
2022/08/17,14:06,2.37
2022/08/17,14:12,2.39
2022/08/17,14:18,2.4
2022/08/17,14:24,2.4
2022/08/17,14:30,2.42
2022/08/17,14:36,2.42
2022/08/17,14:42,2.43
2022/08/17,14:48,2.43
2022/08/17,14:54,2.44
2022/08/17,15:00,2.45
2022/08/17,15:06,2.45
2022/08/17,15:12,2.44
2022/08/17,15:18,2.44
2022/08/17,15:24,2.44
2022/08/17,15:30,2.43
2022/08/17,15:36,2.43
2022/08/17,15:42,2.41
2022/08/17,15:48,2.4
2022/08/17,15:54,2.39
2022/08/17,16:00,2.39
2022/08/17,16:06,2.37
2022/08/17,16:12,2.35
2022/08/17,16:18,2.34
2022/08/17,16:24,2.33
2022/08/17,16:30,2.31
2022/08/17,16:36,2.29
2022/08/17,16:42,2.27
2022/08/17,16:48,2.25
2022/08/17,16:54,2.23
2022/08/17,17:00,2.2
2022/08/17,17:06,2.18
2022/08/17,17:12,2.15
2022/08/17,17:18,2.13
2022/08/17,17:24,2.1
2022/08/17,17:30,2.07
2022/08/17,17:36,2.05
2022/08/17,17:42,2.04
2022/08/17,17:48,2.02
2022/08/17,17:54,2
2022/08/17,18:00,1.96
2022/08/17,18:06,1.94
2022/08/17,18:12,1.93
2022/08/17,18:18,1.87
2022/08/17,18:24,1.86
2022/08/17,18:30,1.85
2022/08/17,18:36,1.82
2022/08/17,18:42,1.81
2022/08/17,18:48,1.78
2022/08/17,18:54,1.76
2022/08/17,19:00,1.72
2022/08/17,19:06,1.69
2022/08/17,19:12,1.66
2022/08/17,19:18,1.65
2022/08/17,19:24,1.62
2022/08/17,19:30,1.61
2022/08/17,19:36,1.59
2022/08/17,19:42,1.57
2022/08/17,19:48,1.57
2022/08/17,19:54,1.55
2022/08/17,20:00,1.54
2022/08/17,20:06,1.55
2022/08/17,20:12,1.53
2022/08/17,20:18,1.54
2022/08/17,20:24,1.52
2022/08/17,20:30,1.52
2022/08/17,20:36,1.52
2022/08/17,20:42,1.51
2022/08/17,20:48,1.51
2022/08/17,20:54,1.49
2022/08/17,21:00,1.49
2022/08/17,21:06,1.51
2022/08/17,21:12,1.56
2022/08/17,21:18,1.57
2022/08/17,21:24,1.56
2022/08/17,21:30,1.55
2022/08/17,21:36,1.52
2022/08/17,21:42,1.47
2022/08/17,21:48,1.48
2022/08/17,21:54,1.46
2022/08/17,22:00,1.45
2022/08/17,22:06,1.44
2022/08/17,22:12,1.4
2022/08/17,22:18,1.4
2022/08/17,22:24,1.39
2022/08/17,22:30,1.39
2022/08/17,22:36,1.39
2022/08/17,22:42,1.38
2022/08/17,22:48,1.38
2022/08/17,22:54,1.37
2022/08/17,23:00,1.38
2022/08/17,23:06,1.41
2022/08/17,23:12,1.42
2022/08/17,23:18,1.47
2022/08/17,23:24,1.5
2022/08/17,23:30,1.53
2022/08/17,23:36,1.57
2022/08/17,23:42,1.61
2022/08/17,23:48,1.65
2022/08/17,23:54,1.69
2022/08/18,00:00,1.75
2022/08/18,00:06,1.79
2022/08/18,00:12,1.84
2022/08/18,00:18,1.89
2022/08/18,00:24,1.92
2022/08/18,00:30,1.95
2022/08/18,00:36,1.99
2022/08/18,00:42,2.02
2022/08/18,00:48,2.06
2022/08/18,00:54,2.09
2022/08/18,01:00,2.11
2022/08/18,01:06,2.15
2022/08/18,01:12,2.17
2022/08/18,01:18,2.19
2022/08/18,01:24,2.22
2022/08/18,01:30,2.25
2022/08/18,01:36,2.27
2022/08/18,01:42,2.29
2022/08/18,01:48,2.31
2022/08/18,01:54,2.34
2022/08/18,02:00,2.38
2022/08/18,02:06,2.4
2022/08/18,02:12,2.43
2022/08/18,02:18,2.46
2022/08/18,02:24,2.48
2022/08/18,02:30,2.52
2022/08/18,02:36,2.56
2022/08/18,02:42,2.59
2022/08/18,02:48,2.62
2022/08/18,02:54,2.65
2022/08/18,03:00,2.68
2022/08/18,03:06,2.71
2022/08/18,03:12,2.74
2022/08/18,03:18,2.76
2022/08/18,03:24,2.78
2022/08/18,03:30,2.8
2022/08/18,03:36,2.83
2022/08/18,03:42,2.85
2022/08/18,03:48,2.85
2022/08/18,03:54,2.86
2022/08/18,04:00,2.88
2022/08/18,04:06,2.89
2022/08/18,04:12,2.9
2022/08/18,04:18,2.9
2022/08/18,04:24,2.89
2022/08/18,04:30,2.89
2022/08/18,04:36,2.87
2022/08/18,04:42,2.87
2022/08/18,04:48,2.86
2022/08/18,04:54,2.85
2022/08/18,05:00,2.83
2022/08/18,05:06,2.81
2022/08/18,05:12,2.8
2022/08/18,05:18,2.79
2022/08/18,05:24,2.78
2022/08/18,05:30,2.77
2022/08/18,05:36,2.76
2022/08/18,05:42,2.74
2022/08/18,05:48,2.73
2022/08/18,05:54,2.72
2022/08/18,06:00,2.71
2022/08/18,06:06,2.7
2022/08/18,06:12,2.69
2022/08/18,06:18,2.67
2022/08/18,06:24,2.65
2022/08/18,06:30,2.64
2022/08/18,06:36,2.62
2022/08/18,06:42,2.6
2022/08/18,06:48,2.58
2022/08/18,06:54,2.57
2022/08/18,07:00,2.54
2022/08/18,07:06,2.52
2022/08/18,07:12,2.49
2022/08/18,07:18,2.46
2022/08/18,07:24,2.43
2022/08/18,07:30,2.4
2022/08/18,07:36,2.37
2022/08/18,07:42,2.34
2022/08/18,07:48,2.31
2022/08/18,07:54,2.29
2022/08/18,08:00,2.26
2022/08/18,08:06,2.24
2022/08/18,08:12,2.22
2022/08/18,08:18,2.2
2022/08/18,08:24,2.18
2022/08/18,08:30,2.16
2022/08/18,08:36,2.15
2022/08/18,08:42,2.14
2022/08/18,08:48,2.12
2022/08/18,08:54,2.11
2022/08/18,09:00,2.1
2022/08/18,09:06,2.08
2022/08/18,09:12,2.07
2022/08/18,09:18,2.06
2022/08/18,09:24,2.04
2022/08/18,09:30,2.03
2022/08/18,09:36,2.03
2022/08/18,09:42,2
2022/08/18,09:48,2
2022/08/18,09:54,1.98
2022/08/18,10:00,1.95
2022/08/18,10:06,1.96
2022/08/18,10:12,1.93
2022/08/18,10:18,1.91
2022/08/18,10:24,1.91
2022/08/18,10:30,1.87
2022/08/18,10:36,1.85
2022/08/18,10:42,1.83
2022/08/18,10:48,1.82
2022/08/18,10:54,1.83
2022/08/18,11:00,1.82
2022/08/18,11:06,1.82
2022/08/18,11:12,1.81
2022/08/18,11:18,1.8
2022/08/18,11:24,1.81
2022/08/18,11:30,1.82
2022/08/18,11:36,1.83
2022/08/18,11:42,1.83
2022/08/18,11:48,1.83
2022/08/18,11:54,1.83
2022/08/18,12:00,1.84
2022/08/18,12:06,1.85
2022/08/18,12:12,1.87
2022/08/18,12:18,1.89
2022/08/18,12:24,1.91
2022/08/18,12:30,1.93
2022/08/18,12:36,1.94
2022/08/18,12:42,1.96
2022/08/18,12:48,1.98
2022/08/18,12:54,2
2022/08/18,13:00,2.01
2022/08/18,13:06,2.03
2022/08/18,13:12,2.05
2022/08/18,13:18,2.06
2022/08/18,13:24,2.08
2022/08/18,13:30,2.1
2022/08/18,13:36,2.12
2022/08/18,13:42,2.13
2022/08/18,13:48,2.14
2022/08/18,13:54,2.15
2022/08/18,14:00,2.17
2022/08/18,14:06,2.17
2022/08/18,14:12,2.18
2022/08/18,14:18,2.2
2022/08/18,14:24,2.21
2022/08/18,14:30,2.22
2022/08/18,14:36,2.23
2022/08/18,14:42,2.25
2022/08/18,14:48,2.25
2022/08/18,14:54,2.25
2022/08/18,15:00,2.25
2022/08/18,15:06,2.25
2022/08/18,15:12,2.26
2022/08/18,15:18,2.29
2022/08/18,15:24,2.29
2022/08/18,15:30,2.29
2022/08/18,15:36,2.3
2022/08/18,15:42,2.29
2022/08/18,15:48,2.31
2022/08/18,15:54,2.31
2022/08/18,16:00,2.31
2022/08/18,16:06,2.31
2022/08/18,16:12,2.31
2022/08/18,16:18,2.3
2022/08/18,16:24,2.29
2022/08/18,16:30,2.28
2022/08/18,16:36,2.27
2022/08/18,16:42,2.24
2022/08/18,16:48,2.24
2022/08/18,16:54,2.24
2022/08/18,17:00,2.23
2022/08/18,17:06,2.21
2022/08/18,17:12,2.19
2022/08/18,17:18,2.16
2022/08/18,17:24,2.14
2022/08/18,17:30,2.12
2022/08/18,17:36,2.09
2022/08/18,17:42,2.07
2022/08/18,17:48,2.04
2022/08/18,17:54,2.01
2022/08/18,18:00,1.99
2022/08/18,18:06,1.98
2022/08/18,18:12,1.95
2022/08/18,18:18,1.93
2022/08/18,18:24,1.91
2022/08/18,18:30,1.88
2022/08/18,18:36,1.86
2022/08/18,18:42,1.85
2022/08/18,18:48,1.83
2022/08/18,18:54,1.81
2022/08/18,19:00,1.79
2022/08/18,19:06,1.77
2022/08/18,19:12,1.75
2022/08/18,19:18,1.72
2022/08/18,19:24,1.7
2022/08/18,19:30,1.67
2022/08/18,19:36,1.64
2022/08/18,19:42,1.62
2022/08/18,19:48,1.59
2022/08/18,19:54,1.57
2022/08/18,20:00,1.56
2022/08/18,20:06,1.53
2022/08/18,20:12,1.5
2022/08/18,20:18,1.48
2022/08/18,20:24,1.44
2022/08/18,20:30,1.43
2022/08/18,20:36,1.41
2022/08/18,20:42,1.38
2022/08/18,20:48,1.37
2022/08/18,20:54,1.35
2022/08/18,21:00,1.32
2022/08/18,21:06,1.3
2022/08/18,21:12,1.28
